,id,name,stable,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
102,01065,大橋勇樹,栗東,5,4,6,79,1,0,20,0,73,5,20,2,74,3,0.053,0.096,0.16,9061.6
103,01066,岡田稲男,栗東,5,4,5,68,0,0,17,0,65,5,21,0,61,5,0.061,0.11,0.171,7518.3
104,01116,新開幸一,美浦,5,4,5,54,2,0,6,0,60,5,11,0,57,5,0.074,0.132,0.206,6192.1
105,01120,千田輝彦,栗東,5,4,3,71,0,0,11,0,72,5,42,2,41,3,0.06,0.108,0.145,5750.0
106,01057,湯窪幸雄,栗東,5,3,7,64,1,0,4,0,74,5,6,0,68,4,0.063,0.101,0.19,7368.8
107,01050,飯田雄三,栗東,5,3,5,67,0,0,12,2,68,3,21,0,57,5,0.062,0.1,0.162,10366.7
108,01018,宮徹,栗東,5,2,10,84,2,0,22,2,77,3,55,1,42,3,0.05,0.069,0.168,9440.7
109,00408,田中清隆,美浦,5,2,8,62,2,0,14,2,61,3,36,4,41,1,0.065,0.091,0.195,9552.2
110,01024,萱野浩二,美浦,5,2,6,73,0,0,12,0,74,5,35,2,45,3,0.058,0.081,0.151,4761.7
111,01112,田島俊明,美浦,5,2,2,88,1,0,11,2,85,3,24,1,73,4,0.052,0.072,0.093,6926.4
112,00396,福島信晴,栗東,5,2,0,45,3,1,9,0,40,4,10,1,38,4,0.096,0.135,0.135,8993.0
113,01064,武藤善則,美浦,4,9,7,76,2,0,14,0,80,4,37,2,57,2,0.042,0.135,0.208,8234.2
114,01157,杉山晴紀,栗東,4,9,4,72,0,0,14,1,75,3,27,2,60,2,0.045,0.146,0.191,8005.4
115,01155,渡辺薫彦,栗東,4,8,3,73,3,0,19,0,66,4,26,0,58,4,0.045,0.136,0.17,7642.0
116,00412,高橋裕,美浦,4,7,4,60,4,0,17,1,54,3,42,2,32,2,0.053,0.147,0.2,6912.4
117,01035,佐藤吉勝,美浦,4,7,2,57,0,0,12,2,58,2,27,3,43,1,0.057,0.157,0.186,8677.4
118,01106,牧光二,美浦,4,7,2,85,4,0,8,0,86,4,33,2,65,2,0.041,0.112,0.133,6931.3
119,01101,吉田直弘,栗東,4,6,7,75,0,0,19,1,73,3,26,2,66,2,0.043,0.109,0.185,9743.3
120,01014,高市圭二,美浦,4,6,6,71,1,0,25,0,61,4,31,0,51,3,0.046,0.115,0.184,7545.1
121,01082,平田修,栗東,4,6,2,60,6,0,11,0,55,4,33,1,39,3,0.056,0.139,0.167,12488.8
122,00362,橋田満,栗東,4,5,6,43,6,0,15,1,37,3,44,3,13,0,0.069,0.155,0.259,10795.4
123,01154,橋口慎介,栗東,4,5,5,62,4,0,15,1,57,3,33,3,39,1,0.053,0.118,0.184,7458.6
124,01150,池上昌和,美浦,4,5,3,62,0,0,12,0,62,4,20,1,54,3,0.054,0.122,0.162,5132.5
125,01156,青木孝文,美浦,4,4,5,66,3,0,6,0,70,4,36,1,38,1,0.051,0.101,0.165,6355.0
126,01080,清水英克,美浦,4,4,4,62,3,0,9,1,62,3,19,2,53,2,0.054,0.108,0.162,6601.6
127,01090,天間昭一,美浦,4,4,2,70,3,0,13,0,64,4,26,1,49,3,0.05,0.1,0.125,3853.0
128,01010,中野栄治,美浦,4,3,7,62,4,0,22,1,50,3,43,2,30,2,0.053,0.092,0.184,5345.9
129,00387,目野哲也,栗東,4,3,1,36,1,0,10,3,33,1,14,1,30,3,0.091,0.159,0.182,8532.7
130,00356,坂口正則,栗東,4,2,8,56,1,0,6,0,63,4,20,2,42,2,0.057,0.086,0.2,6058.0
131,01152,竹内正洋,美浦,4,2,3,66,4,0,9,1,62,3,25,2,48,2,0.053,0.08,0.12,6481.5
132,00434,西橋豊治,栗東,4,2,2,67,2,0,15,1,58,3,23,0,52,4,0.053,0.08,0.107,6279.1
133,01096,粕谷昌央,美浦,4,1,5,75,1,0,20,0,64,4,40,0,35,3,0.047,0.059,0.118,5015.6
134,01160,武幸四郎,栗東,4,1,1,19,0,0,6,0,19,4,15,1,9,3,0.16,0.2,0.24,3865.0
135,01086,斎藤誠,美浦,3,11,4,89,10,0,23,0,74,3,47,0,60,3,0.028,0.131,0.168,10405.7
136,01135,高橋康之,栗東,3,10,3,68,0,0,13,0,71,3,28,1,56,2,0.036,0.155,0.19,7000.2
