,id,name,hair,birth_date,race_result,debut_weight,sales_price,relatives
813,2015103217,アルドーレ,栗毛,2015/4/30,1-1-0-2,464.0,,アンジュデジール、アキトクレッセント
814,2015104803,アングレーム,黒鹿毛,2015/3/14,1-0-0-1,438.0,,カルペディエム、スティングレイ
815,2015101666,アントーニオ,栗毛,2015/3/24,1-0-0-2,456.0,,サウンドストリート、アラディン
816,2015104079,ウイングセクション,栗毛,2015/5/8,1-0-0-0,484.0,,フライングメリッサ、シルクレイノルズ
817,2015100242,ウインディマンシュ,栗毛,2015/3/27,1-0-0-2,414.0,,ウインアーマー、マイネルドメニカ
818,2015102369,エイスノート,黒鹿毛,2015/4/6,1-1-0-1,472.0,,ロードメビウス、ロードグリッター
819,2015104281,エトナ,鹿毛,2015/4/5,1-0-0-4,488.0,1566,オレンジティアラ、レッドリップス
820,2015101959,エルフィ,鹿毛,2015/3/17,1-1-0-2,436.0,,アイビーグラチア、エスシーエスターテ
821,2015110022,オーロリンチェ,栗毛,2015/4/9,1-0-0-1,482.0,,
822,2015110007,オペラグローブ,栗毛,2015/4/30,1-0-0-0,478.0,,
823,2015100561,カーティバル,鹿毛,2015/2/6,1-0-0-2,414.0,,モノディアロゴス、プリンセスルーシーの2017
824,2015104848,キャンディケイン,黒鹿毛,2015/2/1,1-0-0-0,476.0,,スナッチマインド、トーセンゴージャス
825,2015105399,ギガバッケン,鹿毛,2015/2/18,1-1-0-4,538.0,,ウインディーヒルの2016、ウインディーヒルの2017
826,2015104198,ギャンブラー,黒鹿毛,2015/3/24,1-0-0-5,516.0,,アイアムマリリンの2014、ウィズリー
827,2015105191,クワトロダッシュ,栗毛,2015/3/24,1-1-0-3,478.0,,アシュラウェイ、アヴェンタドール
828,2015102460,グラスチャンプ,芦毛,2015/5/10,1-0-0-2,462.0,,リアルファッションの2017
829,2015106177,グランデウィーク,栗毛,2015/3/14,1-0-0-1,498.0,,バンザイ、ディープルマン
830,2015110008,グレートシール,黒鹿毛,2015/2/12,1-0-0-2,490.0,,ムーンレスナイト、Diamondsandrubies
831,2015103672,グロリアフライト,青鹿毛,2015/2/27,1-0-0-1,424.0,,タガノマニカ、オーペドアンジョ
832,2015104333,コスタネラ,栗毛,2015/3/6,1-0-0-1,448.0,,レガーロ
833,2015104952,コンダクトレス,黒鹿毛,2015/1/19,1-0-0-2,452.0,,ヴァフラーム、ハーモニーフェア
834,2015104873,ゴールドタンバリン,栗毛,2015/2/15,1-0-0-1,426.0,,ダブルゴールドの2016、ダブルゴールドの2017
835,2015102297,サイドストリート,鹿毛,2015/3/10,1-1-0-1,478.0,550,カオスモス、プラチナムスタング
836,2015104321,サトノディード,青鹿毛,2015/4/22,1-1-0-1,514.0,,ジェネラルゴジップ、ゴジップガールの2017
837,2015103755,サフランブーケ,鹿毛,2015/5/7,1-0-0-5,430.0,,サフランハート、サフランルーデンス
838,2015102557,サブリナ,栃栗毛,2015/4/29,1-0-0-0,438.0,,レディームーン、ゴールドスピアー
839,2015105470,シークエル,芦毛,2015/2/19,1-0-0-0,524.0,,ペラッチ、レモンイエロー
840,2015103521,シトリカ,鹿毛,2015/3/31,1-0-0-1,412.0,,アーススカイ、エレガントビーナス
841,2015104890,ジーナスイート,芦毛,2015/3/1,1-0-0-2,428.0,,ステラグランデ、アレイオブサン
842,2015101745,ジェイエルスピード,鹿毛,2015/3/7,1-1-0-3,462.0,,ホウライマリーン、ホウライショコラ
843,2015102219,ジェッシージェニー,栗毛,2015/5/5,1-0-0-3,428.0,,
844,2015104665,ジナンボー,黒鹿毛,2015/3/8,1-0-0-0,456.0,,モクレレ、アパパネの2017
