,id,name,crop_count,crop_win_count,crop_grade_horse_count,crop_grade_win_count
132,2007105362,エニーデイ,2,2,0,0
133,2001102948,メジロフランシス,10,20,1,7
134,2005102182,ムードインディゴ,5,6,0,0
135,2008110015,ハナライ,3,2,0,0
136,1998100037,エーピーサルート,12,16,0,0
137,1995107985,ストームティグレス,13,37,1,1
138,000a0116c0,ポールポジションII,7,14,0,0
139,1997107425,キミモール,4,6,0,0
140,2007102941,シャインセレブ,6,5,0,0
141,2004100611,タガノティアーズ,6,5,1,1
142,2003105515,チャームダンス,8,9,0,0
143,2007103274,ソムニア,4,1,0,0
144,000a011504,クイックリトルミス,6,21,0,0
145,2010100683,デイドリーマー,3,2,0,0
146,2002101336,コスモマーベラス,9,4,0,0
147,2010104077,ルナレガーロ,3,2,0,0
148,2000110206,シロガネーゼカフェ,9,12,0,0
149,2004110099,シルキークラフト,4,3,0,0
150,000a011a9c,マーゼリン,6,10,0,0
151,2009106369,クラヴェジーナ,3,1,0,0
152,2006105944,スイリンカ,3,8,0,0
153,2005103314,ユニティ,5,15,0,0
154,000a013a2b,Indian Bay,1,2,0,0
155,2008103295,ナンヨーサフラウア,3,3,0,0
156,2010104360,ラトーナ,3,1,0,0
157,2001101099,ノーザンスター,6,16,0,0
158,000a012061,ザズー,4,1,0,0
159,2006101508,シルバービート,4,1,0,0
160,2008103040,ジャジャマーチャン,5,2,0,0
161,1998102729,モットヒカリヲ,11,12,0,0
162,2006100699,パピオンライン,5,5,0,0
163,000a012508,セルフプリザヴェーション,2,2,0,0
164,2009110036,ナスノシベリウス,2,1,0,0
165,2008103143,ロベルタ,4,4,0,0
166,2006106564,タガノスティード,5,6,0,0
167,000a01397f,Devious Intent,1,2,0,0
168,2004100688,エンブレイス,8,5,0,0
169,2007103292,アーデルハイト,5,4,0,0
170,000a0121b7,ランニングボブキャッツ,4,12,1,2
171,2002102898,テンセイフジ,8,23,0,0
172,000a010ac8,スカイアライアンス,11,11,0,0
173,2007100639,ヴィエナトウショウ,4,3,0,0
174,2008102925,コーンドリー,5,5,0,0
175,2010104317,アフリカンピアノ,2,3,0,0
176,000a012fc0,ウェイクミーアップ,3,2,0,0
177,000a011a63,ドバイマジェスティ,5,9,1,2
178,2002104365,コスマグレース,9,15,0,0
179,2005110019,エーシンベロシティ,3,3,0,0
180,2005102733,ローザブランカ,6,12,0,0
181,2002100890,モンローブロンド,8,17,0,0
182,000a0120f6,ミスティークII,4,2,0,0
183,2010110076,ロードクロサイト,3,2,0,0
184,2001107661,モントレゾール,11,25,0,0
185,000a011b0f,パーシステントリー,4,6,0,0
186,2004105815,レツィーナ,7,14,0,0
187,000a01205c,ホットチャチャ,4,1,0,0
188,1999102329,キョウエイデビュー,10,26,0,0
189,2004106720,フミノオリヒメ,7,18,0,0
190,2009106770,ウォータープレミア,4,3,0,0
191,000a0105c2,レイクサイドカップ,11,39,0,0
192,2004110200,カロンセギュール,7,11,0,0
193,2009102557,ポップアイコン,3,1,0,0
194,2007103017,ツヨイキモチ,3,2,0,0
195,2006104724,ルシュクル,5,4,1,2
196,2007100433,カルトマリーヌ,3,1,0,0
197,2004102846,アメジストリング,5,4,0,0
198,2003105275,ソリッドプラチナム,7,6,0,0
199,2010104034,イスタンブール,3,1,0,0
200,2003102489,ソアリングピアス,7,19,0,0
201,2007101183,ラクスクライン,5,1,0,0
202,2007105764,ミラクルフラッグ,4,6,0,0
203,1999106687,インコグニート,11,33,0,0
204,000a006803,ヴォルピア,12,27,0,0
205,2002100466,ロフティーエイム,9,2,0,0
206,2005102304,スプライトダンス,6,8,0,0
207,2001190001,リュヌドール,6,4,0,0
208,000a011237,ディアマンティナ,7,15,0,0
209,2008101612,ヒラボクウィン,3,4,0,0
210,2000105363,ローレルディライト,7,31,0,0
211,2002104223,スズカフォイル,5,7,0,0
212,2004102569,ニシノマナムスメ,7,9,0,0
213,000a0116fa,Triple Act,7,6,0,0
214,1999106997,ジェシカ,10,11,0,0
215,2007106428,トーセンフリージア,4,1,0,0
216,000a013660,Tashawak,1,1,0,0
217,2003105798,メイショウヒミコ,9,8,0,0
218,2003101298,エトワールステージ,5,14,0,0
219,1997106255,リードスキー,15,52,0,0
220,2010105956,マイネカトレア,3,1,0,0
221,2009100745,クラウディーハート,3,2,0,0
222,2000110041,シーキングマイラブ,7,9,0,0
223,000a0114e5,モケット,7,7,0,0
224,000a011999,スウィートハース,5,2,0,0
225,2001102686,ニシノビギン,8,8,0,0
226,2008102705,アンリミテッドピサ,3,1,0,0
227,2003106607,スパニッシュソウル,4,1,0,0
228,2009110039,レッドメデューサ,4,1,0,0
229,2008105100,ゼフィランサス,3,2,0,0
230,000a0117f7,エキゾチックエレガンス,5,12,0,0
231,2010103307,エメラルドタワー,3,1,0,0
232,000a011a1b,ヴァレッタ,6,1,0,0
233,2006103888,ナムラミーティア,6,3,0,0
234,2005106496,セイウンメイリー,8,7,0,0
235,2006102530,カノヤグッドラック,2,1,0,0
236,2007102282,プリマビスティー,5,11,0,0
237,2001104228,スマイルコンテスト,8,11,1,1
238,2006104275,エルサフィール,4,9,0,0
239,2000101551,エルダンジュ,8,18,0,0
240,2001101389,シャイニングピアス,9,12,1,1
241,2007105277,トーセンクラッチ,3,9,0,0
242,2006101931,ファイヤーオパール,7,8,0,0
243,2001103193,マチカネハナサソウ,8,12,0,0
244,2005101764,ドナフュージョン,3,2,0,0
245,2008100807,ミヤビアルカディア,4,9,0,0
246,2008103375,ホーマンフリップ,3,4,0,0
247,2008110008,ノーブルジュエリー,2,1,0,0
248,2005105447,トーセンスクリュー,4,3,0,0
249,2008102159,サンマルフェアー,4,4,0,0
250,2004105073,チャームピクチャー,8,8,0,0
251,2007104061,コンカラン,3,1,0,0
252,2006100951,ホワイトクルーザー,4,8,0,0
253,2003102819,メガクライト,8,4,0,0
254,2002100906,ガラディナー,6,14,0,0
255,2007105390,バラベルサイユ,5,4,0,0
256,2007103255,ワイルドラズベリー,4,4,0,0
257,2004110225,ペルサントクリール,7,12,0,0
258,000a0123dc,アビシーナ,3,1,0,0
259,2008101286,エーシンパナギア,3,2,0,0
260,2003106788,パパラチア,4,3,0,0
261,2005105417,ディープキッス,4,5,0,0
262,2000105246,ベルモントナウシカ,9,9,0,0
263,2007102912,ブルーミングアレー,5,3,0,0
264,2001103356,バリーバーン,5,4,0,0
265,2009100526,ピッチニーニ,2,1,0,0
266,2002100937,ブランシュネージュ,8,9,0,0
267,000a01122e,ダンシングエディ,6,2,0,0
268,2007103297,ピンクアリエス,5,7,0,0
269,2007100566,ランブリングローズ,2,1,0,0
270,2002110212,ジュピターズビコー,8,31,0,0
271,2005101869,ヒカルカグヤヒメ,7,16,0,0
272,2001106765,アズマサンダース,8,9,0,0
273,2009106608,ダブルプライム,4,2,0,0
274,2008104166,クロエチャン,3,2,0,0
275,2006101331,ピサノルビー,4,3,0,0
276,2006104764,クリーペル,5,5,0,0
277,2002103122,エンドレスワルツ,6,17,0,0
278,2007101408,プリンセスメイク,4,9,0,0
279,2008104984,ベルモントベロニカ,3,3,0,0
280,2007103156,リアクションレート,5,5,0,0
281,2007102503,ニシノメルモ,3,1,0,0
282,2006102794,スカイノダン,4,4,0,0
283,2010100671,ラメント,3,1,0,0
284,1996107386,トゥザヴィクトリー,11,31,3,7
285,2007100331,ナスケンアイリス,6,12,0,0
286,2004106174,ムーンハウリング,4,2,0,0
287,2008110126,アスターヒューモア,3,2,0,0
288,1999106898,サマーナイトシティ,9,14,1,5
289,1994109504,スーパーバレリーナ,12,19,1,2
290,2004110007,スターアイル,6,13,1,6
291,2001100658,カネスベネフィット,7,11,0,0
292,2000102605,マイネヌーヴェル,9,9,0,0
293,2002100942,グレイシアブルー,5,8,0,0
294,000a013210,Dahlia's Krissy,2,1,0,0
295,2005105574,スワン,4,2,0,0
296,2007102877,オメガフレグランス,4,2,0,0
297,2005105314,トウカイポプリ,5,9,0,0
298,2004102427,バイオレントハート,8,9,0,0
299,2004102929,ヴァイスハイト,7,7,0,0
300,2008102171,ヒシカルメン,3,1,0,0
301,2004103212,リバラン,6,6,0,0
302,1997110273,スターマレイン,12,25,0,0
303,2000102099,エンジェルファタル,10,4,0,0
304,2004103733,バンビーナココ,6,9,0,0
305,1997103710,ディアアドマイヤ,10,9,0,0
306,2008102876,ステラプラド,4,5,0,0
307,2009106251,レチャーダ,3,3,0,0
308,2004103267,ダノンフローラ,6,9,0,0
309,2008101625,スズカモンスーン,5,2,0,0
310,2003106549,カノヤザミラクル,8,3,0,0
311,2004100181,ウインアンジェラス,6,9,0,0
312,000a012522,テメリアイランド,4,1,0,0
313,000a010b61,ムーンライトダンス,12,11,0,0
314,2007105681,エトピリカ,3,0,0,0
315,1998103730,ブライティアガール,10,28,0,0
316,000a0117a1,ルシルク,8,15,1,1
317,2001106653,メイショウオスカル,10,26,0,0
318,2003104385,ラズベリータイム,6,1,0,0
319,2006101118,マルヨシロワイン,2,2,0,0
320,2004103689,ケイティラブ,3,2,0,0
321,1999102743,エルノヴァ,8,9,0,0
322,000a010dcb,パラディナ,10,19,0,0
323,2010100639,フローズンムーン,3,1,0,0
324,2010105076,タイキキララ,3,1,0,0
325,000a011ac2,サルヴェジェルマニア,2,3,0,0
326,1997104609,イルバチオ,7,13,0,0
327,1999106731,オメガグレイス,8,23,0,0
328,2007106038,テールバインダー,4,1,0,0
329,2007102944,ラッキーダイス,3,9,0,0
330,000a01250e,ポジションリミット,4,3,0,0
331,2009101862,レディーメグネイト,4,3,0,0
332,2006105017,ラヴソースウィート,4,1,0,0
333,2007101512,サウンドバリアー,4,1,0,0
334,2006102044,ツルマルミホ,4,5,0,0
335,2009100447,ジュリエットソング,3,5,0,0
336,2006104293,ネオグラティア,3,1,0,0
337,2009106199,メカマハロ,3,1,0,0
338,1997190001,レーヴドスカー,10,25,3,6
339,1998101650,スターリーロマンス,8,29,1,1
340,2007101563,フラワーガイア,6,7,0,0
341,2001103120,マルカフローリアン,9,9,0,0
342,000a012166,オヴァンボクイーン,4,1,0,0
343,1997103390,フェレット,13,18,0,0
344,2003103971,メルヴェイユーズ,7,2,0,0
345,2006103445,ダイナマイトハニー,5,2,0,0
346,2002100888,スルーレート,8,6,0,0
347,2006109086,デグラーティア,5,4,0,0
348,2007104840,スカラムーシュ,5,3,0,0
349,2000104114,フランチェスカ,12,30,0,0
350,2004100420,パイクーニャン,8,21,0,0
351,2001103662,トーセンデイジー,4,1,0,0
352,2007103113,ペンテシレイア,5,3,0,0
353,000a012efc,バックシートリズム,2,1,0,0
354,2006102886,アルウェット,5,6,0,0
355,2005100783,チャームナデシコ,6,2,0,0
356,2010104593,メイショウユウダチ,2,1,0,0
357,000a0120f5,ミリオンウィッシーズ,3,1,0,0
358,2010110011,レッドエルザ,3,1,0,0
359,000a0065a6,ヒドゥンダンス,15,27,2,4
360,000a010f07,イースタリーブリーズ,11,8,0,0
361,000a01365a,Mighty Renee,1,1,0,0
362,2007110082,ジュアンレパン,6,3,0,0
363,2006106566,タガノアルデバラン,4,5,0,0
364,2008103005,メイショウキスゲ,4,14,0,0
365,2009106063,エンジェルフォール,4,1,0,0
366,2005105260,ヴィクトリアルイゼ,5,7,0,0
367,2007101582,ユメノトキメキ,2,1,0,0
368,2002101038,サラトガヴィーナス,8,17,0,0
369,1998106155,ポイントフラッグ,9,22,1,11
370,1999106800,シーディザーブス,8,27,0,0
371,2005102099,プレイリーウインド,5,1,0,0
372,2005103128,ランウェイスナップ,4,4,0,0
373,2007103065,ピノブラン,4,1,0,0
374,000a011dd9,キャサリンオブアラゴン,5,4,0,0
375,2007103161,メイケイソフィア,5,1,0,0
376,2008105443,ハタノメドゥーサ,3,18,0,0
377,2002106511,サンデーメモリー,10,19,0,0
378,2004101855,ダイメイザバリヤル,5,5,0,0
379,2001103283,アップルマティーニ,7,2,0,0
380,2008103302,シシリアンブリーズ,3,1,0,0
381,2006100958,スマートダズル,5,17,0,0
382,2008110125,ルージュクール,5,11,0,0
383,2004104670,プレシャスライフ,7,7,0,0
384,2009106301,フェリスタス,3,2,0,0
385,000a013735,Glorious Success,1,1,0,0
386,2007101047,エリモマドンナ,5,4,0,0
387,2008105828,ブイアスカ,3,6,0,0
388,2007103323,アガルタ,5,11,0,0
389,000a012130,チェリーコレクト,3,1,0,0
390,2007104753,カスクドール,5,1,0,0
391,2006101151,コペノイコロ,7,5,0,0
392,000a011a58,ペニーズフォーチュン,3,3,0,0
393,000a0117a2,アゼリ,7,9,0,0
394,2005105849,グランジョイ,7,11,0,0
395,2009102914,アズマガール,3,1,0,0
396,2009101168,ミラクルムーン,2,1,0,0
397,2003100591,トウカイメガミ,8,8,0,0
398,000a011dff,カブリオレ,5,5,0,0
399,1997103387,ティアドロップス,13,42,1,3
400,1999106096,マンデームスメ,9,16,0,0
401,2009105736,ベアフルート,3,3,0,0
402,2002102327,プレラット,11,11,0,0
403,2005102477,ヴェルザンディ,6,1,0,0
404,2008104831,シェルエメール,2,1,0,0
405,2005102499,エフティマイア,6,4,0,0
406,000a011d96,ワールドリープレジャー,7,11,1,7
407,2009102523,シセイヒミコ,4,3,0,0
408,2007103091,コヴェンティナ,5,5,0,0
409,000a011dc6,マイグッドネス,5,24,1,9
410,000a013689,Missamerica Bertie,1,1,0,0
411,2010104053,ラストグルーヴ,3,1,0,0
412,2004101198,レディカーニバル,8,19,0,0
413,2006106132,シセイカグヤ,3,1,0,0
414,2005102113,アスドゥクール,3,7,1,2
415,000a013a1f,Elusive Horizon,1,1,0,0
416,2001103488,クラシックローズ,8,8,0,0
417,2010103415,サクラジュレップ,1,2,0,0
418,2005105381,イコールパートナー,5,9,0,0
419,2008103358,アドマイヤエバート,4,4,0,0
420,000a0114af,サイレントセンティネル,7,9,0,0
421,2003100330,タママリア,5,5,0,0
422,2005105525,マイネトゥインクル,5,3,0,0
423,2003107198,ヤエツバキ,2,6,0,0
424,2004103494,ショウナンタレント,8,4,0,0
425,2001100172,トウカイルックス,10,9,0,0
426,2007101822,エナジーハート,4,2,0,0
427,2009106141,シャムローグ,4,1,0,0
428,2007100267,スプリングサンダー,4,3,0,0
429,2004106394,ミヤギバスター,7,18,0,0
430,2000101554,タンザナイト,10,21,1,1
431,2004110166,クロチェーラ,6,23,0,0
432,000a011a9d,ベルアリュールII,4,6,1,1
433,2007103062,クラックシード,3,3,0,0
434,2007102091,ディアコトミ,4,5,0,0
435,1999101368,オースミコスモ,7,6,0,0
436,000a011ddb,ヴィクトリアズワイルドキャット,4,1,0,0
437,2005100862,トミーラヴ,5,9,0,0
438,2004103187,ザレマ,5,7,0,0
439,2006105043,ゴッドダンシング,4,4,0,0
440,2003103002,クレヨンルージュ,7,5,0,0
441,1999105049,ディアレイラ,6,11,0,0
442,2005106611,ハギノハーセルフ,4,4,0,0
443,1999100891,マイネヴィータ,5,10,0,0
444,2007103360,ウィンターコスモス,7,10,0,0
445,2007103298,ピーチブローフィズ,4,1,0,0
446,2006100872,ブライダルベール,5,1,0,0
447,2007101058,エリモエポナ,3,2,0,0
448,2008105798,アースソング,4,4,0,0
449,2006102113,パドブレ,5,5,0,0
450,2009101009,ルサビ,5,1,0,0
451,2010110073,シアージュ,3,1,0,0
452,2001100076,ミルフォードスバル,8,20,0,0
453,2002104892,アイコチャン,10,12,0,0
454,1998104479,カミモリローマン,11,15,0,0
455,2002100822,アドマイヤキラメキ,7,13,1,2
456,000a010648,マルバイユ,6,11,2,5
457,2007101427,アヤナルベルス,3,1,0,0
458,2003103517,カシノエスケイプ,8,12,0,0
459,2009106554,ラブリーアリュール,2,1,0,0
460,000a0067d2,ディナータイム,14,26,0,0
461,000a0120f1,ノヴァホーク,3,2,0,0
462,2007102844,ワルツオブキャット,6,1,0,0
463,1999110072,マチカネチコウヨレ,9,28,1,1
464,2006103319,ブエナビスタ,4,2,0,0
465,1999105765,ニホンピロガレット,11,18,0,0
466,2010102384,ロジヒット,2,1,0,0
467,2007101280,エーシンリターンズ,4,0,0,0
468,2002100844,シーザリオ,10,13,2,5
469,2004110121,スコルピオンキッス,7,5,0,0
470,2001103296,カレンママ,7,28,0,0
471,2008103277,シルバーフォックス,4,3,0,0
472,000a0116f1,ギフトオブソング,7,19,0,0
473,000a013675,Ski Holiday,1,1,0,0
474,2008100285,プントバンコ,2,1,0,0
475,2004101207,レディアーティスト,5,8,0,0
476,2003102952,ギーニョ,6,11,0,0
477,2000101449,レンドフェリーチェ,8,5,0,0
478,2010103050,デビュートウショウ,4,2,0,0
479,2006102050,ウォーターグリーン,5,38,0,0
480,2007106431,ハナヨメノレン,6,5,0,0
481,2009100845,ヴァップ,4,3,0,0
482,2006106114,マチカネセキガハラ,7,4,0,0
483,2007103398,ローザミスティカ,6,7,0,0
484,2001103421,フェアナタリー,9,19,0,0
485,2003103505,エリモフィナーレ,7,15,0,0
486,2009100779,ウォータームージカ,4,1,0,0
487,2004100722,アブソリューション,8,11,0,0
488,2007100581,スティールパス,3,1,0,0
489,1996100646,レディジュエル,13,25,0,0
490,000a01395e,Ribbon Taffy,1,1,0,0
491,2009104142,クラウンミストラル,2,1,0,0
492,2007101796,メイショウコブシ,5,5,0,0
493,000a010758,サッカーマム,11,15,0,0
494,2007102278,シャイニングサヤカ,3,3,0,0
495,2007100654,スマートアルティラ,3,3,0,0
496,1999105329,ヴィジョンサクラ,6,29,0,0
497,000a010cac,スタイルリスティック,9,11,0,0
498,1998105812,テイエムシーズン,10,13,1,1
499,2000102683,ダイワエンジェル,11,17,1,2
500,2008110036,ウイングオブピース,1,1,0,0
501,000a011093,スイートリトリート,8,11,0,0
502,2006105694,クイーンオブハルカ,6,9,0,0
503,2007103031,カホマックス,3,1,0,0
504,2009110041,リアライズカレボ,3,3,0,0
505,2009106378,ハワイアンウインド,2,1,0,0
506,2008103903,カフェローレル,5,1,0,0
507,2003106870,クリノビスケット,2,2,0,0
508,2007103203,スコアズビー,5,2,0,0
509,000a0125f0,タッチミーベイブ,3,4,0,0
510,1998106862,メロディペリオット,8,15,0,0
511,2006103886,トウカイミステリー,5,12,0,0
512,2007102524,ニシノモレッタ,3,1,0,0
513,2009103901,キャントセイワーズ,3,2,0,0
514,1999106940,マイネディーバ,9,12,0,0
515,2004103297,クラックコード,9,12,0,0
516,1997101271,ジャックカガヤキ,9,7,0,0
517,2006104862,マイネプリンセス,3,0,0,0
