,id,name,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
52,o_0kaRRTTEFUM,山元哲二,7,5,1,31,0,0,11,2,33,5,10,2,30,4,0.159,0.273,0.295,9165.9
53,o_4ERNhXTEFUe,馬場幸夫,4,6,1,17,2,0,7,2,19,2,5,0,23,4,0.143,0.357,0.393,8767.0
54,o_0kaRRTTE10d,石川達絵,5,3,3,22,3,1,3,1,27,3,13,4,20,1,0.152,0.242,0.333,8691.5
55,o_4keFJzTEF0d,ビッグレッドファーム,5,2,6,110,8,0,25,0,90,5,80,2,38,3,0.041,0.057,0.106,8675.6
56,o_8EVjdXTEFkM,栗本博晴,6,7,7,136,0,0,32,0,124,6,47,1,102,5,0.038,0.083,0.128,8587.2
57,o_0ERrRzTEFke,Ｇリビエール・レーシング,2,2,1,10,2,1,3,0,10,1,6,1,9,1,0.133,0.267,0.333,8570.7
58,o_4kajFTTE10d,林正道,4,7,5,54,1,0,9,0,60,4,27,4,36,0,0.057,0.157,0.229,8300.4
59,o_8ERrl3TEF0d,チョウサン,1,1,0,6,1,1,3,0,4,0,7,0,0,0,0.125,0.25,0.25,7560.8
60,o_4EVFFzTEF0d,タマモ,4,4,5,43,2,0,11,2,43,2,10,0,43,2,0.071,0.143,0.232,7551.4
61,o_0ERFp3TEFke,ディアレストクラブ,6,7,5,55,1,0,7,0,65,6,16,2,55,3,0.082,0.178,0.247,7417.0
62,o_0kerVTTE10d,久米田正明,4,4,2,18,3,0,8,2,17,2,17,2,11,2,0.143,0.286,0.357,7360.9
63,o_4EVRl3TEF0d,ライオンレースホース,2,4,7,57,0,0,15,1,55,1,20,2,48,0,0.029,0.086,0.186,7318.1
64,o_8EVNhXTE1ke,小松欣也,1,1,1,1,3,0,1,1,0,0,4,1,0,0,0.25,0.5,0.75,7187.0
65,o_0karhXTEFUe,増田陽一,3,1,2,12,5,1,4,1,9,1,10,2,8,1,0.167,0.222,0.333,6995.9
66,o_0kaZFTTEFEN,吉岡實,3,3,2,25,5,1,9,0,19,2,14,1,19,2,0.091,0.182,0.242,6976.1
67,o_0EVZpXTEFUe,北所直人,2,3,4,75,2,0,8,1,74,1,25,1,59,1,0.024,0.06,0.107,6923.6
68,o_4kaJVzTEF0d,ミルファーム,4,5,5,146,5,0,27,0,128,4,67,1,88,3,0.025,0.056,0.088,6824.6
69,o_0ERFFTTE1Ee,今西宏枝,1,1,0,3,2,1,1,0,2,0,1,0,2,0,0.2,0.4,0.4,6743.5
