,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,avg_turf_distance,avg_dart_distance
444,000a01204e,Kalatos,1,0,3,0,0,0,2,0,1,0,3,0,0,0,0.0,0.7,0.0,0.0
445,000a012622,Mayakovsky,1,0,2,0,1,0,1,0,0,0,0,0,2,0,0.0,0.69,0.0,0.0
446,000a00181a,Private Account,1,0,2,0,0,0,2,0,0,0,0,0,2,0,0.0,0.69,0.0,0.0
447,1990109704,ザイーテン,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.35,0.0,0.0
448,000a001785,Affirmed,4,0,11,0,0,0,2,0,9,0,4,0,7,0,0.0,0.17,0.0,0.0
449,000a011d8d,Dushyantor,2,0,5,0,0,0,0,0,5,0,3,0,2,0,0.0,0.32,0.0,0.0
450,000a010d0c,Macho Uno,2,0,6,0,0,0,2,0,4,0,2,0,4,0,0.0,0.32,0.0,0.0
451,000a010bed,Sakhee,2,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.32,0.0,0.0
452,2003102809,オンファイア,3,0,8,0,0,0,0,0,8,0,2,0,6,0,0.0,0.21,0.0,0.0
453,000a001bde,Fairy King,4,0,9,0,0,0,1,0,8,0,3,0,6,0,0.0,0.16,0.0,0.0
454,000a013952,Shawklit Won,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.63,0.0,0.0
455,000a000d9b,ウェイオブライト,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0.0,0.62,0.0,0.0
456,000a002053,Storm Boot,4,0,6,0,0,0,1,0,5,0,6,0,0,0,0.0,0.15,0.0,0.0
457,000a000d89,シアトルダンサーII,3,0,7,0,0,0,0,0,7,0,0,0,7,0,0.0,0.2,0.0,0.0
458,000a000083,ブロッコ,2,0,5,0,0,0,2,0,3,0,0,0,5,0,0.0,0.3,0.0,0.0
459,000a002130,Grindstone,3,0,8,0,0,0,4,0,4,0,0,0,8,0,0.0,0.19,0.0,0.0
460,000a001dbb,Runaway Groom,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.58,0.0,0.0
461,000a011d04,Raven's Pass,3,0,6,0,0,0,0,0,6,0,1,0,5,0,0.0,0.19,0.0,0.0
462,1994109699,ヒカリバオー,2,0,6,0,0,0,6,0,0,0,0,0,6,0,0.0,0.29,0.0,0.0
463,000a010990,ザール,2,0,7,0,0,0,0,0,7,0,2,0,5,0,0.0,0.28,0.0,0.0
464,000a002049,Fortunate Prospect,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.5,0.0,0.0
465,000a001fc0,Marquetry,3,0,5,0,0,0,1,0,4,0,0,0,5,0,0.0,0.17,0.0,0.0
466,1992107451,サンデーウェル,3,0,8,0,0,0,1,0,7,0,0,0,8,0,0.0,0.17,0.0,0.0
467,000a0109d5,スタチューオブリバティ,3,0,10,0,0,0,0,0,10,0,3,0,7,0,0.0,0.17,0.0,0.0
468,000a000d88,ティッカネン,3,0,11,0,0,0,3,0,8,0,5,0,6,0,0.0,0.17,0.0,0.0
469,000a011290,Canadian Frontier,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0.0,0.47,0.0,0.0
470,000a001cce,Easy Goer,1,0,3,0,0,0,3,0,0,0,3,0,0,0,0.0,0.47,0.0,0.0
471,000a011133,Grape Tree Road,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.47,0.0,0.0
472,000a011158,Aragorn,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.41,0.0,0.0
473,2002100594,トーセンダンス,2,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.2,0.0,0.0
474,000a010dc8,Afleet Alex,2,0,4,0,0,0,1,0,3,0,1,0,3,0,0.0,0.19,0.0,0.0
475,000a0105b4,Titus Livius,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.35,0.0,0.0
476,000a0001b8,キングオブキングス,3,0,7,0,0,0,1,0,6,0,1,0,6,0,0.0,0.12,0.0,0.0
477,000a010bce,Formal Dinner,2,0,6,0,0,0,1,0,5,0,4,0,2,0,0.0,0.17,0.0,0.0
478,000a0022ca,Out of Place,3,0,4,0,2,0,1,0,1,0,3,0,1,0,0.0,0.11,0.0,0.0
479,000a002151,River Special,1,0,6,0,0,0,1,0,5,0,3,0,3,0,0.0,0.33,0.0,0.0
480,1999107052,アドマイヤドン,1,0,4,0,0,0,0,0,4,0,0,0,4,0,0.0,0.33,0.0,0.0
481,1981106396,ビゼンニシキ,3,0,6,0,0,0,2,0,4,0,5,0,1,0,0.0,0.11,0.0,0.0
482,1995105589,ミスズシャルダン,1,0,3,0,0,0,1,0,2,0,2,0,1,0,0.0,0.33,0.0,0.0
483,1975102626,ヤマニンスキー,1,0,3,0,0,0,2,0,1,0,3,0,0,0,0.0,0.33,0.0,0.0
484,1991109929,エイシンワシントン,4,0,11,0,0,0,3,0,8,0,6,0,5,0,0.0,0.08,0.0,0.0
485,1992107625,アブクマポーロ,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.28,0.0,0.0
486,1995100385,スマートボーイ,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.28,0.0,0.0
487,000a010f0f,Century City,2,0,3,0,0,0,0,0,3,0,0,0,2,0,0.0,0.12,0.0,0.0
488,000a001b87,Chief's Crown,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.24,0.0,0.0
489,000a01056c,Fly Till Dawn,1,0,4,0,0,0,0,0,4,0,0,0,4,0,0.0,0.24,0.0,0.0
490,000a00fdb8,Kaldounevees,1,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.24,0.0,0.0
491,000a0109d0,Marchand de Sable,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.24,0.0,0.0
492,000a0108d0,Officer,3,0,5,0,0,0,2,0,3,0,1,0,4,0,0.0,0.08,0.0,0.0
493,000a000270,Peaks and Valleys,1,0,5,0,0,0,0,0,5,0,1,0,4,0,0.0,0.24,0.0,0.0
494,000a010be8,Yonaguska,3,0,5,0,1,0,3,0,1,0,4,0,1,0,0.0,0.08,0.0,0.0
495,1987100579,アイネスフウジン,4,0,10,0,0,0,2,0,8,0,3,0,7,0,0.0,0.06,0.0,0.0
496,1992109729,タイキシャーロック,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.24,0.0,0.0
497,1997105739,ニホンピロニール,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.24,0.0,0.0
498,1995104953,ビワタケヒデ,5,0,13,0,0,0,0,0,13,0,5,0,8,0,0.0,0.05,0.0,0.0
499,1986109003,フレンチグローリー,1,0,6,0,0,0,0,0,6,0,2,0,4,0,0.0,0.24,0.0,0.0
500,1999104188,ヤマニンセラフィム,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.24,0.0,0.0
501,1995101039,ウイングアロー,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.19,0.0,0.0
502,1995107939,ミラクルアドマイヤ,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.19,0.0,0.0
503,000a00021b,ミルジョージ,3,0,5,0,0,0,1,0,4,0,0,0,2,0,0.0,0.06,0.0,0.0
504,000a002306,Behrens,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.16,0.0,0.0
505,000a011127,Consolidator,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.16,0.0,0.0
506,000a011798,Indygo Shiner,3,0,5,0,0,0,1,0,4,0,2,0,3,0,0.0,0.05,0.0,0.0
507,000a0022a2,Our Emblem,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.16,0.0,0.0
508,000a002239,Sir Cat,2,0,4,0,0,0,0,0,4,0,1,0,3,0,0.0,0.08,0.0,0.0
509,2002100996,サムライハート,1,0,5,0,0,0,0,0,5,0,1,0,4,0,0.0,0.16,0.0,0.0
510,1997105461,ニューイングランド,2,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.08,0.0,0.0
511,000a00004b,バチアー,2,0,5,0,0,0,0,0,5,0,0,0,5,0,0.0,0.08,0.0,0.0
512,000a000d19,フォティテン,3,0,4,0,0,0,0,0,4,0,0,0,4,0,0.0,0.05,0.0,0.0
513,1996107315,ブラックタキシード,3,0,8,0,0,0,0,0,8,0,1,0,7,0,0.0,0.05,0.0,0.0
514,000a010ab3,Action This Day,1,0,6,0,0,0,0,0,6,0,0,0,6,0,0.0,0.0,0.0,0.0
515,000a001770,Akarad,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
516,000a0130f0,Al Akbar,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
517,000a01025c,Alhaarth,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
518,000a0022e2,Anabaa,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.0,0.0,0.0
519,000a011385,Anabaa Blue,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
520,000a00fb2c,Aptitude,2,0,4,0,0,0,1,0,3,0,0,0,4,0,0.0,0.0,0.0,0.0
521,000a01139f,Authorized,2,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
522,000a011770,Bahhare,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
523,000a011774,Ballingarry,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
524,000a00212c,Benny the Dip,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
525,000a01099c,Blue Ocean,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
526,000a0020cc,Bold Executive,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
527,000a010bca,Chief Seattle,2,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
528,000a0127e6,City Zip,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
529,000a01109b,Concerto,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
530,000a0017cc,Conquistador Cielo,1,0,3,0,0,0,2,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0
531,000a01173f,Corinthian,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
532,000a002320,Crafty Friend,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
533,000a001e8c,Crusader Sword,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
534,000a001e83,Cryptoclearance,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
535,000a0015c6,Cure the Blues,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
536,000a00fa3a,Dashing Blade,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
537,000a0104d4,Double Bed,2,0,4,0,0,0,0,0,4,0,2,0,2,0,0.0,0.0,0.0,0.0
538,000a010571,Dr Fong,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.0,0.0,0.0
539,000a011773,Duke of Marmalade,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
540,000a01239c,Elusive City,3,0,4,0,0,0,1,0,3,0,2,0,2,0,0.0,0.0,0.0,0.0
541,000a0112ca,Encosta de Lago,1,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.0,0.0,0.0
542,000a002319,Exploit,2,0,3,0,0,0,1,0,2,0,2,0,1,0,0.0,0.0,0.0,0.0
543,000a010ff8,Fayruz,1,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.0,0.0,0.0
544,000a001fbe,Fly So Free,2,0,5,0,0,0,0,0,5,0,4,0,1,0,0.0,0.0,0.0,0.0
545,000a001ef1,Garde Royale,2,0,5,0,0,0,0,0,5,0,1,0,2,0,0.0,0.0,0.0,0.0
546,000a001fee,General Meeting,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
547,000a001fd7,Go for Gin,2,0,3,0,1,0,0,0,2,0,2,0,1,0,0.0,0.0,0.0,0.0
548,000a010313,Gold Away,2,0,2,0,1,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0
549,000a01147e,Gold Legend,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
550,000a010530,Haafhd,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
551,000a00fd81,High Yield,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
552,000a010a64,Hold That Tiger,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
553,000a000180,Holy Bull,2,0,6,0,0,0,0,0,6,0,2,0,4,0,0.0,0.0,0.0,0.0
554,000a001fc3,Honor Grades,1,0,3,0,0,0,1,0,2,0,1,0,2,0,0.0,0.0,0.0,0.0
555,000a00fa46,Horse Chestnut,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
556,000a0111d1,Iffraaj,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
557,000a0017c9,Irish River,2,0,4,0,0,0,0,0,4,0,0,0,2,0,0.0,0.0,0.0,0.0
558,000a0114c3,Johan Cruyff,2,0,4,0,0,0,0,0,4,0,4,0,0,0,0.0,0.0,0.0,0.0
559,000a010b86,Jump Start,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
560,000a0110a8,Kelly Kip,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0
561,000a001678,Kris,3,0,8,0,0,0,1,0,7,0,2,0,6,0,0.0,0.0,0.0,0.0
562,000a0022d5,Lagunas,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
563,000a0021ab,Langfuhr,3,0,6,0,2,0,0,0,4,0,3,0,3,0,0.0,0.0,0.0,0.0
564,000a0016ec,Law Society,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
565,000a0115cc,Leroidesanimaux,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
566,000a012a69,Lion Hearted,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
567,000a01147c,Lode,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
568,000a0122be,Lord of England,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
569,000a002275,Louis Quatorze,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
570,000a001205,Lyphard,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0
571,000a00167b,Majestic Light,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
572,000a011cde,Mamool,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
573,000a001b44,Manila,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
574,000a00209c,Masterclass,1,0,3,0,0,0,2,0,1,0,1,0,2,0,0.0,0.0,0.0,0.0
575,000a001c0e,Meadowlake,3,0,6,0,1,0,4,0,1,0,5,0,1,0,0.0,0.0,0.0,0.0
576,000a011c22,Midnight Lute,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
577,000a002163,Montbrook,2,0,4,0,0,0,2,0,2,0,3,0,1,0,0.0,0.0,0.0,0.0
578,000a0110a9,Most Welcome,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
579,000a001fd1,Mountain Cat,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
580,000a001607,Mr. Prospector,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
581,000a001fac,Mujadil,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
582,000a001e82,Mujtahid,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
583,000a00217c,Mutakddim,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
584,000a00200b,Native Prospector,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
585,000a0116fe,Nedawi,2,0,4,0,0,0,1,0,3,0,3,0,1,0,0.0,0.0,0.0,0.0
586,000a011656,New Approach,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
587,000a0104d5,O'Reilly,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
588,000a010d4f,Oasis Dream,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
589,000a0111d2,One Cool Cat,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
590,000a010902,Orientate,2,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
591,000a002078,Parade Marshal,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
592,000a0019a3,Phone Trick,2,0,4,0,0,0,1,0,3,0,2,0,2,0,0.0,0.0,0.0,0.0
593,000a001d34,Pirate's Bounty,1,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.0,0.0,0.0
594,000a010a16,Pistolet Bleu,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
595,000a001fbd,Private Terms,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
596,000a011156,Purge,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
597,000a0014ce,Riverman,1,0,2,0,0,0,1,0,1,0,0,0,2,0,0.0,0.0,0.0,0.0
598,000a010612,Rock Hard Ten,2,0,6,0,0,0,0,0,6,0,0,0,6,0,0.0,0.0,0.0,0.0
599,000a010615,Royal Applause,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
600,000a010997,Royal Chalice,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
601,000a001f1d,Septieme Ciel,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
602,000a010a17,Sevres Rose,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
603,000a00135e,Shirley Heights,2,0,4,0,0,0,1,0,3,0,4,0,0,0,0.0,0.0,0.0,0.0
604,000a00191f,Slewpy,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
605,000a01205a,Soave,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0
606,000a0120bc,Spanish Steps,2,0,4,0,0,0,0,0,4,0,3,0,1,0,0.0,0.0,0.0,0.0
607,000a00212d,Spectrum,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
608,000a012399,Spirit One,1,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.0,0.0,0.0
609,000a001982,Star de Naskra,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
610,000a00ff1f,Stormin Fever,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
611,000a001b65,Straight Strike,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
612,000a01246a,Strategic Prince,1,0,2,0,0,0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0
613,000a001d88,Summer Squall,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
614,000a0118fc,Sunray Spirit,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
615,000a011ff7,Sunriver,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
616,000a01139e,Teofilo,2,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
617,000a012241,The Leopard,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
618,000a012c44,Thousand Words,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
619,000a002040,Tunerup,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
620,000a0019af,Two Punch,3,0,5,0,0,0,3,0,2,0,1,0,4,0,0.0,0.0,0.0,0.0
621,000a001de5,Unfuwain,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
622,000a010c3f,Van Nistelrooy,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
623,000a01143b,Victory Note,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
624,000a010544,Vindication,1,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.0,0.0,0.0
625,000a00fce0,War Chant,1,0,3,0,0,0,1,0,2,0,3,0,0,0,0.0,0.0,0.0,0.0
626,000a0122ee,Wild and Wicked,1,0,3,0,0,0,0,0,3,0,2,0,1,0,0.0,0.0,0.0,0.0
627,000a00fcde,Yankee Victor,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
628,000a010753,Yes It's True,3,0,5,0,0,0,0,0,5,0,1,0,4,0,0.0,0.0,0.0,0.0
629,000a001dcf,Zabeel,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
630,000a000d72,アーミジャー,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
631,000a000d47,アイシーグルーム,2,0,5,0,0,0,1,0,4,0,1,0,2,0,0.0,0.0,0.0,0.0
632,1993109165,アグネスカミカゼ,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
633,1995108665,アグネスワールド,5,0,11,0,0,0,1,0,10,0,4,0,7,0,0.0,0.0,0.0,0.0
634,1999110191,アサクサデンエン,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
635,2002102324,アドマイヤジャパン,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
636,1997100632,アンクルスーパー,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
637,000a000112,アントレプレナー,1,0,2,0,0,0,1,0,1,0,1,0,1,0,0.0,0.0,0.0,0.0
638,1984106229,イナリワン,1,0,5,0,0,0,0,0,5,0,0,0,5,0,0.0,0.0,0.0,0.0
639,000a0114ba,インヴァソール,1,0,4,0,1,0,2,0,1,0,3,0,1,0,0.0,0.0,0.0,0.0
640,1999102595,ウインデュエル,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
641,1989108560,エーピージェット,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
642,1997110161,エイシンプレストン,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
643,1991109943,オースミタイクーン,1,0,4,0,0,0,0,0,4,0,1,0,3,0,0.0,0.0,0.0,0.0
644,1985102167,オグリキャップ,1,0,2,0,0,0,1,0,1,0,1,0,1,0,0.0,0.0,0.0,0.0
645,1988106402,カリスタグローリ,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0
646,1990109127,キョウワアリシバ,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
647,000a000da1,クリプティックラスカル,2,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
648,1994109559,グリーンアプローズ,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
649,1986106198,サクラホクトオー,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
650,1992109533,サマーサスピション,1,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.0,0.0,0.0
651,1988101304,サンゼウス,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
652,2000101398,ザッツザプレンティ,2,0,4,0,0,0,0,0,4,0,3,0,1,0,0.0,0.0,0.0,0.0
653,1984109003,シェイディハイツ,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
654,2001110087,シェルゲーム,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0
655,000a0002f0,シャーディー,2,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.0,0.0,0.0
656,1991109947,シンコウキング,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
657,000a00014a,ジェリ,1,0,2,0,0,0,2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
658,000a000da4,スクワートルスクワート,4,0,7,0,0,0,4,0,3,0,2,0,5,0,0.0,0.0,0.0,0.0
659,1992110102,スズカストリート,2,0,3,0,0,0,1,0,2,0,0,0,3,0,0.0,0.0,0.0,0.0
660,2002107011,スズカフェニックス,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
661,2001103890,スズカマンボ,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0.0,0.0,0.0,0.0
662,1991107851,スターマン,2,0,5,0,0,0,3,0,2,0,3,0,2,0,0.0,0.0,0.0,0.0
663,000a00032c,ステートリードン,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
664,2003102461,ソングオブウインド,2,0,4,0,0,0,0,0,4,0,1,0,3,0,0.0,0.0,0.0,0.0
665,1991109979,タイキブリザード,2,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.0,0.0,0.0
666,1998101683,タイムパラドックス,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
667,1983104089,ダイナガリバー,3,0,8,0,0,0,4,0,4,0,8,0,0,0,0.0,0.0,0.0,0.0
668,1988107348,ダイナマイトダディ,2,0,5,0,0,0,0,0,5,0,2,0,3,0,0.0,0.0,0.0,0.0
669,000a0000c7,ダンスオブライフ,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
670,000a0000ca,ダンスホール,2,0,4,0,0,0,0,0,4,0,0,0,4,0,0.0,0.0,0.0,0.0
671,1999106851,テレグノシス,1,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.0,0.0,0.0
672,2005101358,ディープスカイ,2,0,4,0,0,0,0,0,4,0,0,0,4,0,0.0,0.0,0.0,0.0
673,000a00faf1,デザートストーリー,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0
674,1990105400,トーヨーリファール,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0
675,1996102442,ナリタトップロード,3,0,5,0,0,0,1,0,4,0,1,0,4,0,0.0,0.0,0.0,0.0
676,1995190005,ハイライズ,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
