,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,avg_turf_distance,avg_dart_distance
280,1988107894,リンドシェーバー,11,1,23,1,2,0,5,0,16,1,3,0,19,1,0.091,0.34,0.0,1200.0
281,000a01056d,Invincible Spirit,8,0,18,0,0,0,3,0,15,0,7,0,11,0,0.0,0.46,0.0,0.0
282,000a001e23,Linamix,3,1,6,1,1,0,0,0,5,1,5,1,1,0,0.333,1.22,1800.0,0.0
283,000a010651,Notebook,1,1,4,1,0,0,2,0,2,1,4,1,0,0,1.0,3.57,1400.0,0.0
284,000a001fb6,Marju,5,0,9,0,2,0,2,0,5,0,8,0,1,0,0.0,0.71,0.0,0.0
285,000a011135,チチカステナンゴ,2,0,5,0,2,0,1,0,2,0,4,0,1,0,0.0,1.77,0.0,0.0
286,000a0111cf,Lost Soldier,2,1,4,1,0,0,0,0,4,1,2,0,1,0,0.5,1.75,0.0,0.0
287,000a000d99,スキャターザゴールド,4,1,15,1,0,0,2,0,13,1,1,0,13,1,0.25,0.87,0.0,1900.0
288,000a01196d,Sholokhov,3,1,4,1,0,0,1,0,3,1,4,1,0,0,0.333,1.16,2600.0,0.0
289,1998102595,ショウナンカンプ,3,1,10,1,0,0,0,0,10,1,3,0,7,1,0.333,1.16,0.0,1300.0
290,000a010542,エンパイアメーカー,5,1,12,1,1,0,0,0,11,1,4,0,8,1,0.2,0.69,0.0,1800.0
291,000a010bac,Refuse To Bend,3,1,6,1,1,0,1,0,4,1,4,1,2,0,0.333,1.13,1600.0,0.0
292,000a00025e,オジジアン,7,1,19,1,0,0,4,0,15,1,7,0,10,1,0.143,0.48,0.0,1800.0
293,000a01169b,Birdstone,2,1,3,1,0,0,0,0,3,1,0,0,3,1,0.5,1.65,0.0,1800.0
294,000a010b85,Stormy Atlantic,2,1,4,1,0,0,1,0,3,1,0,0,4,1,0.5,1.65,0.0,1200.0
295,1989109107,プラティニ,2,1,5,1,0,0,3,0,2,1,4,1,1,0,0.5,1.65,1600.0,0.0
296,000a0001d6,ラストタイクーン,4,1,14,1,0,0,6,0,8,1,3,0,11,1,0.25,0.83,0.0,1150.0
297,000a001cd6,Gulch,7,1,21,1,0,0,5,0,16,1,6,0,15,1,0.143,0.47,0.0,1800.0
